ratio	total
0.0	2316
0.002	1
0.003	1
0.004	7
0.005	2
0.006	2
0.007	7
0.008	5
0.009	12
0.01	8
0.011	8
0.012	10
0.013	11
0.014	13
0.015	15
0.016	20
0.017	7
0.018	14
0.019	9
0.02	13
0.021	9
0.022	14
0.023	11
0.024	15
0.025	6
0.026	9
0.027	9
0.028	10
0.029	3
0.03	8
0.031	3
0.032	9
0.033	10
0.034	7
0.035	3
0.036	14
0.037	13
0.038	6
0.039	3
0.04	6
0.041	5
0.042	6
0.043	10
0.044	6
0.045	6
0.046	3
0.047	7
0.048	9
0.049	3
0.05	6
0.051	3
0.052	5
0.053	5
0.054	2
0.055	2
0.056	10
0.057	2
0.058	4
0.059	12
0.06	1
0.061	3
0.062	4
0.063	9
0.064	2
0.065	8
0.067	7
0.068	3
0.069	3
0.07	3
0.071	9
0.072	6
0.073	5
0.074	2
0.075	2
0.076	3
0.077	8
0.078	3
0.079	4
0.08	3
0.081	2
0.082	3
0.083	17
0.084	2
0.085	3
0.086	2
0.087	1
0.088	1
0.089	4
0.09	5
0.091	11
0.092	1
0.093	4
0.094	2
0.095	3
0.096	2
0.097	1
0.098	2
0.1	16
0.102	1
0.103	2
0.104	1
0.105	2
0.106	1
0.111	19
0.112	2
0.113	2
0.114	1
0.115	1
0.116	1
0.117	3
0.118	3
0.121	2
0.122	1
0.124	1
0.125	25
0.126	1
0.127	1
0.128	1
0.129	1
0.13	3
0.132	6
0.133	6
0.134	1
0.136	2
0.138	2
0.139	2
0.141	1
0.143	20
0.144	3
0.146	2
0.147	1
0.148	1
0.149	3
0.152	4
0.153	1
0.154	3
0.156	3
0.157	3
0.158	2
0.16	3
0.161	2
0.162	1
0.163	2
0.167	20
0.168	1
0.17	1
0.172	1
0.173	1
0.174	3
0.175	1
0.176	1
0.178	1
0.179	2
0.182	6
0.184	2
0.188	1
0.19	1
0.194	1
0.196	1
0.197	1
0.199	1
0.2	30
0.209	1
0.212	1
0.214	2
0.215	1
0.216	2
0.222	6
0.231	1
0.233	2
0.236	1
0.238	2
0.239	2
0.242	2
0.25	30
0.251	1
0.255	1
0.262	2
0.273	2
0.278	1
0.282	1
0.286	5
0.292	1
0.294	1
0.296	1
0.3	4
0.303	1
0.304	1
0.313	3
0.315	1
0.316	1
0.317	1
0.321	1
0.333	37
0.338	1
0.357	1
0.368	1
0.375	2
0.385	1
0.389	1
0.391	1
0.4	11
0.415	1
0.418	1
0.429	2
0.444	1
0.455	2
0.5	54
0.556	1
0.591	1
0.6	3
0.636	1
0.649	1
0.667	8
0.714	1
0.727	1
0.75	4
0.8	1
0.81	1
0.933	1
0.935	1
1.0	60
1.121	1
1.25	1
1.333	1
1.5	5
2.0	12
2.375	1
2.429	1
2.6	1
2.667	2
2.893	1
3.0	5
4.222	1
6.0	1
11.0	1
