ratio	total
0.0	527
20.0	4
24.679000000000002	1
27.0	1
28.305000000000003	1
30.0	1
60.0	1
70.0	2
79.0	1
90.0	3
100.0	1
110.0	2
118.0	1
120.0	4
130.0	1
150.0	2
160.0	2
180.0	4
187.0	1
190.0	2
210.0	2
220.0	1
230.0	1
231.0	1
250.0	2
260.0	1
270.0	1
290.0	2
298.0	1
300.0	1
320.0	2
330.0	1
340.0	1
350.0	1
370.0	1
380.0	2
390.0	2
410.0	1
411.0	1
420.0	1
430.0	1
440.0	1
450.0	2
460.0	2
470.0	1
490.0	1
510.0	1
520.0	1
530.0	2
540.0	2
550.0	1
560.0	2
570.0	3
580.0	2
590.0	1
598.0	1
610.0	1
640.0	1
650.0	2
660.0	2
690.0	1
710.0	1
720.0	1
730.0	1
760.0	2
780.0	3
800.0	1
820.0	1
860.0	1
870.0	1
880.0	1
890.0	2
910.0	2
950.0	1
960.0	2
970.0	1
990.0	1
1020.0	1
1032.0	1
1050.0	1
1060.0	1
1090.0	1
1110.0	1
1120.0	2
1150.0	1
1160.0	1
1180.0	2
1200.0	1
1204.0	1
1210.0	1
1240.0	1
1260.0	2
1270.0	1
1280.0	2
1290.0	2
1310.0	1
1311.0	1
1320.0	1
1340.0	1
1360.0	1
1380.0	1
1408.0	1
1430.0	3
1440.0	2
1480.0	1
1510.0	1
1550.0	1
1570.0	1
1580.0	1
1620.0	1
1630.0	1
1660.0	3
1680.0	1
1690.0	1
1710.0	1
1730.0	1
1750.0	1
1780.0	1
1800.0	1
1820.0	1
1890.0	1
1904.136	1
1940.0	1
1980.0	1
1990.0	1
2000.0	1
2004.0	1
2020.0	1
2060.0	1
2070.0	1
2080.0	2
2100.0	1
2120.0	1
2130.0	1
2140.0	1
2149.0	1
2172.0	1
2180.0	1
2200.0	1
2215.0	1
2240.0	2
2280.0	1
2340.0	2
2400.0	1
2430.0	1
2440.0	1
2480.0	1
2490.0	1
2520.0	1
2630.0	1
2660.0	1
2744.0	1
2750.0	1
2860.0	1
2880.0	1
2900.0	1
2960.0	2
3100.0	1
3120.0	1
3220.0	1
3360.0	1
3490.0	2
3560.0	1
3660.0	1
3690.0	1
3700.0	1
3720.0	1
3740.0	1
3800.0	1
4000.0	2
4020.0	1
4021.5	1
4050.0	1
4200.0	1
4240.0	1
4260.0	1
4280.0	1
4360.0	1
4440.0	1
4460.0	2
4520.0	1
4590.0	1
4680.0	1
4690.0	1
4700.0	1
4800.0	1
4816.0	1
4847.43	1
4880.0	1
4904.0	1
4930.0	1
4960.0	1
5000.0	1
5110.0	1
5180.0	1
5430.0	1
5460.0	1
5490.0	1
5560.0	1
5640.0	1
5750.0	1
5820.0	1
5990.0	1
6000.0	1
6020.0	2
6080.0	1
6130.0	1
6250.0	1
6360.0	1
6420.0	1
6780.0	1
6880.0	1
7160.0	1
7340.0	1
7400.0	1
7560.0	1
7952.9400000000005	1
8160.0	1
8320.0	1
8430.0	1
8480.0	1
8610.0	1
8740.0	1
8750.0	1
8780.0	1
8840.0	1
8880.0	1
8932.0	1
9060.0	1
9120.0	1
9360.0	1
9380.0	1
9480.0	1
9540.0	1
9570.0	1
9720.0	1
9740.0	1
9808.0	1
10120.0	2
10300.0	1
10560.0	1
10660.0	1
10680.0	1
10780.0	1
11040.0	1
11160.0	1
11180.0	1
11187.0	1
11480.0	1
11750.0	1
12160.0	1
12360.0	1
12510.0	1
13480.0	1
13600.0	1
13680.0	1
13750.0	1
13900.0	2
14200.0	1
14300.0	1
14320.0	1
14500.0	1
14750.0	1
14820.0	1
14850.0	1
14940.0	1
16160.0	1
16260.0	1
16290.0	1
16450.0	1
16800.0	1
16860.0	1
17280.0	1
17760.0	1
18060.0	2
18300.0	1
21070.0	3
21285.424	1
23200.0	1
23250.0	1
24080.0	1
24720.0	1
25560.0	1
25650.0	1
26160.0	1
26400.0	1
26495.122	1
26808.0	1
27090.0	1
28480.0	1
28650.0	1
29120.0	1
29940.0	1
30040.0	1
31080.0	1
32320.0	1
32880.0	1
34150.0	1
34240.0	1
38800.0	1
41900.0	1
42080.0	1
42210.0	1
43717.5	1
45551.0	1
45738.0	1
45815.697	1
46800.0	1
47430.0	1
48700.0	1
50040.0	1
56800.0	1
58160.0	1
58410.0	1
59280.0	1
60000.0	1
60520.0	1
62730.0	1
65000.0	1
67550.0	1
70219.0	1
72624.0	1
72720.0	1
74320.0	1
75550.0	1
76480.0	1
80100.0	1
80414.716	1
81000.0	1
84840.0	1
85500.0	1
86940.0	1
88080.0	1
88320.0	1
88913.0	1
89670.0	1
97280.0	1
107343.0	1
108480.0	1
116772.978	1
117120.0	1
123360.0	1
155880.0	1
167850.0	1
169473.0	1
169505.0	1
187950.0	1
195660.0	1
212488.122	1
217200.0	1
277550.0	1
279161.156	1
292492.0	1
301574.0	1
347400.0	1
348499.737	1
378800.0	1
408940.0	1
449700.0	1
463080.0	1
538884.6749999999	1
571860.0	1
586350.0	1
596970.0	1
606182.5	1
612510.0	1
790240.0	1
792176.0	1
1024240.0	1
1180590.0	1
1384634.328	1
1847560.0	1
2243381.25	1
2421720.0	1
2845590.75	1
2916759.874	1
2922022.296	1
3112847.37	1
3358960.0	1
3902920.2430000002	1
5262690.0	1
5521077.618	1
5579246.850000001	1
6483200.0	1
17946774.912	1
179457944.60000002	1
518488406.04399997	1
